ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"110.78.149.12","elite","AS131090","TH","CAT-BB","254","N/A","4145","socks4","3987","1","2023-10-20T12:45:54.538Z","69","3118","4498"
"138.94.92.26","elite","AS264145","BR","FACILNET PROVEDOR E SERVIÇOS EIRELI","187","FACILNET PROVEDOR E SERVIÇOS EIRELI","7497","socks5","5098","1","2023-10-20T12:45:54.543Z","98","4332","4430"
"84.51.0.199","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","83","Siba Bilisim Telekominikasyon Elektronik Ithalat Ihracat Limited","4145","socks4","3497","1","2023-10-20T12:45:54.644Z","100","4498","4500"
"176.115.14.32","elite","AS58350","PL","PHU Classcom Sp. z o.o.","93","PHU Classcom Sp. z o.o","5678","socks4","592","82","2023-10-20T12:45:49.549Z","100","4503","4520"
"202.50.202.65","elite","AS55696","ID","PT Starcom Solusindo","202","N/A","48617","socks4","4890","1","2023-10-20T12:45:49.547Z","99","4319","4349"
"180.254.95.245","elite","AS7713","ID","PT. TELKOM INDONESIA","202","N/A","8080","socks4","4999","82","2023-10-20T12:45:49.540Z","91","4065","4475"
"216.107.129.72","elite","AS61317","US","Colocation America Corporation","95","Ipxo LLC","10180","socks5","1698","1","2023-10-20T12:45:49.643Z","100","4395","4403"
"203.23.103.19","elite","AS209242","BZ","Cloudflare London, LLC","10","Umpire Associates LTD","80","socks4","5291","1","2023-10-20T12:45:44.843Z","100","4416","4416"
"162.12.217.30","elite","AS204902","FR","Weelax","181","XIWO","3629","socks4","1101","1","2023-10-20T12:45:44.846Z","99","4345","4407"
"46.227.37.73","elite","AS51155","PL","Telemedian - TB Telecom","38","Telemedian","51155","socks4","4083","1","2023-10-20T12:45:44.943Z","100","4433","4446"
"179.189.196.52","elite","AS52626","BR","NovaNet Provedor e Web Ltda","394","NovaNet Provedor e Web Ltda","5678","socks4","2699","1","2023-10-20T12:45:44.837Z","39","1720","4444"
"188.133.153.60","elite","AS21353","RU","Enforta-MSK","98","N/A","8080","socks5","896","1","2023-10-20T12:45:44.849Z","98","4414","4483"
"103.254.175.181","elite","AS45117","IN","INPL BB","191","N/A","8080","socks4","4407","1","2023-10-20T12:45:39.751Z","99","4314","4342"
"103.212.93.209","elite","AS138312","IN","Best Telnet Services Private Limited","189","Best telnet services private limited","45639","socks4","2391","1","2023-10-20T12:45:39.753Z","99","4463","4495"
"106.75.154.243","elite","AS136958","CN","UCLOUD","289","Shanghai UCloud Information Technology Company Limited","999","socks4","3205","1","2023-10-20T12:45:39.647Z","74","3232","4340"
"113.195.221.20","elite","AS4837","CN","China Unicom CHINA169 Network","181","N/A","9999","socks4","4605","6","2023-10-20T12:45:39.648Z","55","2443","4425"
"38.113.171.1","elite","AS174","CA","Cogent Communications","91","eTor Networks","31596","socks4","5101","1","2023-10-20T12:45:35.044Z","100","4498","4505"
"195.154.61.36","elite","AS12876","FR","Online SAS","2","N/A","57438","socks5","3492","2","2023-10-20T12:45:35.046Z","56","2488","4425"
"103.59.200.26","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","192","NET 4 U Services PVT LTD","4145","socks4","3915","1","2023-10-20T12:45:34.849Z","99","4293","4323"
"94.101.179.153","elite","AS202468","IR","Noyan Abr Arvan Co. ( Private Joint Stock)","177","Noyan Abr Arvan Co. ( Private Joint Stock)","9050","socks5","5091","1","2023-10-20T12:45:34.938Z","57","2472","4356"
"104.16.221.57","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4800","1","2023-10-20T12:45:34.942Z","100","4433","4434"
"110.78.147.107","elite","AS131090","TH","CAT-BB","285","N/A","4145","socks4","234","82","2023-10-20T12:45:34.934Z","76","3380","4467"
"182.253.142.7","elite","AS17451","ID","Biznet Networks","184","MetroNET","4145","socks4","4708","1","2023-10-20T12:45:30.246Z","86","3803","4439"
"38.127.179.140","elite","AS174","US","Cogent Communications","80","Torlandia Trading SRL","11537","socks4","4000","1","2023-10-20T12:45:30.343Z","100","4374","4380"
"45.125.222.125","elite","AS63526","BD","Carnival Internet","198","N/A","47239","socks4","5005","1","2023-10-20T12:45:30.241Z","100","4438","4460"
"95.78.119.94","elite","AS42116","RU","CJSC \"ER-Telecom Holding\" Naberezhnye Chelny branch","101","JSC \"ER-Telecom Holding\" Naberezhnye Chelny branch","1080","socks5","2285","1","2023-10-20T12:45:30.345Z","100","4436","4456"
"43.130.47.27","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","189","Tencent Cloud Computing","21127","socks5","5098","1","2023-10-20T12:45:30.239Z","32","1418","4495"
"183.89.41.115","elite","AS45629","TH","Triple T Broadband Public Company Limited","199","Triple T Broadband Public Company Limited","5678","socks4","4801","1","2023-10-20T12:45:25.351Z","98","4314","4412"
"177.38.5.250","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","296","FÁBIO MENDES DIAS LTDA ME","4153","socks4","4715","1","2023-10-20T12:45:25.437Z","87","3901","4508"
"144.126.217.189","elite","AS14061","US","DigitalOcean, LLC","184","DigitalOcean, LLC","12345","socks5","4794","1","2023-10-20T12:45:25.436Z","67","3007","4480"
"209.97.175.231","elite","AS14061","SG","DigitalOcean, LLC","179","DigitalOcean, LLC","45337","socks5","4014","1","2023-10-20T12:45:21.142Z","95","4227","4455"
"103.120.202.53","elite","AS63526","BD","Carnival Internet","166","N/A","5678","socks4","2695","1","2023-10-20T12:45:21.135Z","95","4173","4376"
"101.32.62.108","elite","AS132203","HK","Aceville Pte.ltd","257","N/A","1080","socks4","710","1","2023-10-20T12:45:21.141Z","85","3806","4455"
"168.227.158.45","elite","AS52898","BR","Multipla Serviços Inteligentes","195","Multipla Serviços Inteligentes","4145","socks4","1896","1","2023-10-20T12:45:21.144Z","99","4304","4331"
"83.168.84.134","elite","AS35179","PL","ESPOL-FH","61","N/A","4153","socks4","4597","1","2023-10-20T12:45:21.143Z","57","2553","4504"
"95.140.126.82","elite","AS9125","RS","Drustvo za telekomunikacije Orion telekom doo Beograd-Zemun","100","Milsped","1080","socks4","5091","1","2023-10-20T12:45:21.237Z","99","4487","4512"
"135.181.78.38","elite","AS24940","FI","Hetzner Online GmbH","38","Hetzner","60063","socks5","4810","1","2023-10-20T12:45:15.036Z","100","4421","4422"
"172.67.150.173","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","5003","1","2023-10-20T12:45:14.849Z","100","4464","4464"
"47.57.115.226","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","552","Alibaba.com LLC","9050","socks4","5096","1","2023-10-20T12:45:14.844Z","100","4385","4402"
"5.189.179.57","elite","AS51167","DE","Contabo GmbH","82","Contabo GmbH","57238","socks5","4008","1","2023-10-20T12:45:14.843Z","100","4487","4490"
"45.76.182.145","elite","AS20473","SG","The Constant Company","185","Vultr Holdings, LLC","15560","socks4","5003","1","2023-10-20T12:45:14.845Z","99","4456","4492"
"103.78.210.178","elite","AS131111","ID","MORATELINDO","174","Moratelindo","30000","socks4","4702","1","2023-10-20T12:45:10.236Z","98","4410","4487"
"41.207.251.194","elite","AS37540","NG","Winrock Nigeria Limited","196","Winrock","8080","socks4","2589","1","2023-10-20T12:45:10.139Z","60","2668","4467"
"152.32.215.158","elite","AS135377","HK","UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED","192","UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED","62235","socks5","4591","1","2023-10-20T12:45:10.239Z","26","1129","4399"
"189.201.189.2","elite","AS28438","MX","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V.","178","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V","4145","socks4","4907","1","2023-10-20T12:45:10.340Z","99","4402","4452"
"192.3.127.220","elite","AS36352","US","ColoCrossing","141","RackNerd LLC","45776","socks5","4496","1","2023-10-20T12:45:10.143Z","82","3585","4358"
"217.115.213.187","elite","AS9050","RO","Orange Romania Communication S.A","52","Orange Romania Communications","4145","socks4","5392","1","2023-10-20T12:45:10.342Z","99","4270","4308"
"222.129.32.173","elite","AS4808","CN","China Unicom Beijing Province Network","212","N/A","57114","socks4","4905","1","2023-10-20T12:45:10.145Z","78","3412","4384"
